               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.028077,            0.022917,          0.00073637,             0.78895,             0.79165,             0.74271,             0.34385,            0.041742,             0.03363,          0.00073254,           0.0019443,           0.0019443,           0.0019443
                  81,            0.027678,            0.023524,          0.00051565,             0.77913,             0.76941,             0.72653,             0.32582,            0.043854,            0.035898,           0.0007804,           0.0018594,           0.0018594,           0.0018594
                  82,            0.027157,            0.023864,          0.00066918,             0.80433,               0.799,             0.76017,             0.33454,            0.042309,            0.034475,          0.00084238,           0.0017781,           0.0017781,           0.0017781
                  83,            0.026824,            0.021019,          0.00053925,             0.78895,             0.77322,              0.7316,              0.3285,            0.043428,            0.036598,          0.00087773,           0.0017005,           0.0017005,           0.0017005
                  84,            0.026783,            0.021962,          0.00050315,             0.78476,             0.80002,             0.75162,             0.34328,            0.042034,            0.034117,          0.00079692,           0.0016267,           0.0016267,           0.0016267
                  85,            0.026866,            0.022558,          0.00063448,             0.81749,             0.79555,             0.76581,               0.349,            0.041455,            0.033328,          0.00076954,           0.0015566,           0.0015566,           0.0015566
                  86,             0.02713,            0.022722,          0.00050809,             0.78249,             0.77202,             0.71846,             0.33559,            0.043024,            0.035995,          0.00079719,           0.0014905,           0.0014905,           0.0014905
                  87,            0.027159,            0.023613,          0.00080838,             0.80698,             0.80443,             0.76386,             0.35864,            0.040848,            0.032659,          0.00078636,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026417,            0.020922,           0.0005547,             0.80424,             0.79009,              0.7498,             0.34372,             0.04195,            0.034515,          0.00079656,           0.0013701,           0.0013701,           0.0013701
                  89,            0.026669,            0.021954,          0.00056398,             0.83574,              0.8231,             0.79292,             0.36721,            0.040086,             0.03229,          0.00077573,            0.001316,            0.001316,            0.001316
                  90,            0.027084,            0.022005,          0.00060273,             0.79459,             0.78827,             0.74543,             0.34325,            0.042184,            0.034763,          0.00086428,            0.001266,            0.001266,            0.001266
                  91,            0.026837,            0.023039,          0.00046078,             0.78888,             0.77712,             0.72886,              0.3353,            0.043094,            0.035596,          0.00081602,           0.0012202,           0.0012202,           0.0012202
                  92,            0.026791,             0.02259,          0.00048567,             0.79628,             0.78876,             0.74311,             0.34837,            0.041435,            0.034424,          0.00082074,           0.0011787,           0.0011787,           0.0011787
                  93,            0.026375,            0.022387,           0.0004224,             0.81085,             0.79183,             0.76523,             0.35156,            0.041193,            0.033634,          0.00082204,           0.0011414,           0.0011414,           0.0011414
                  94,            0.026961,            0.021559,          0.00050129,             0.77948,             0.77409,             0.72098,             0.33318,            0.043386,            0.037281,          0.00085447,           0.0011084,           0.0011084,           0.0011084
                  95,            0.026406,            0.021964,          0.00053987,             0.80552,             0.81218,             0.76808,             0.35851,            0.040991,            0.033212,          0.00075806,           0.0010797,           0.0010797,           0.0010797
                  96,            0.027059,            0.022777,          0.00048212,             0.80057,             0.79707,             0.75836,             0.35463,            0.041302,            0.034027,          0.00092048,           0.0010554,           0.0010554,           0.0010554
                  97,            0.026806,            0.022893,           0.0004005,             0.79789,             0.78966,             0.74839,             0.35095,            0.041913,            0.034776,          0.00081609,           0.0010355,           0.0010355,           0.0010355
                  98,            0.026254,            0.022855,          0.00046611,             0.80546,              0.8189,             0.77991,             0.36338,            0.040839,            0.032544,          0.00075404,             0.00102,             0.00102,             0.00102
                  99,            0.026375,            0.022034,          0.00046701,             0.75687,             0.76766,             0.69528,             0.33195,            0.043802,            0.038205,          0.00085239,           0.0010089,           0.0010089,           0.0010089
